"Series";"Time";"Value"
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:18:30+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:18:45+02:00";36462
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:19:00+02:00";36462
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:19:15+02:00";36537
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:19:30+02:00";36537
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:19:45+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:20:00+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:20:15+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:20:30+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:20:45+02:00";36649
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:21:00+02:00";36649
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:21:15+02:00";36561
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:21:30+02:00";36561
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:21:45+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:22:00+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:22:15+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:22:30+02:00";36551
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:22:45+02:00";36474
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:23:00+02:00";36474
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:23:15+02:00";53716
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:23:30+02:00";53716
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:23:45+02:00";235858
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:24:00+02:00";235858
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:24:15+02:00";53716
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:24:30+02:00";53716
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:24:45+02:00";57080
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:25:00+02:00";57080
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:25:15+02:00";54982
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:25:30+02:00";54982
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:25:45+02:00";250034
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:26:00+02:00";250034
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:26:15+02:00";241922
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:26:30+02:00";241922
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:26:45+02:00";58970
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:27:00+02:00";58970
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:27:15+02:00";26754
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:27:30+02:00";26754
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:27:45+02:00";26172
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:28:00+02:00";26172
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:28:15+02:00";25987
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:28:30+02:00";25987
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:28:45+02:00";25858
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:29:00+02:00";25858
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:29:15+02:00";25754
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:29:30+02:00";25754
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:29:45+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:30:00+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:30:15+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:30:30+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:30:45+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:31:00+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:31:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:31:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:31:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:32:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:32:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:32:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:32:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:33:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:33:15+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:33:30+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:33:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:34:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:34:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:34:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:34:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:35:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:35:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:35:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:35:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:36:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:36:15+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:36:30+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:36:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:37:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:37:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:37:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:37:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:38:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:38:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:38:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:38:45+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:39:00+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:39:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:39:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:39:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:40:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:40:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:40:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:40:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:41:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:41:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:41:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:41:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:42:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:42:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:42:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:42:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:43:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:43:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:43:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:43:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:44:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:44:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:44:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:44:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:45:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:45:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:45:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:45:45+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:46:00+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:46:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:46:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:46:45+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:47:00+02:00";25783
